Topic,Count,Percentage,Topic Label (to be filled in by reviewer),Representation,KeyBERTInspired,PartOfSpeech,MaximalMarginalRelevance,Top Documents,quick fix,slow fix,hot topic,first time,easy fix,hard fix,reason,result type,answer,phase,user/developer,related tools,Kadiray,Miao,agree
10,199,0.01494667268,Array Handling,"['key', 'array', 'array key', 'array_key_exist', 'expect', 'snippet', 'code snippet', 'expect output', 'integer', 'snippet reproduce']","['array_key_exist expect', 'array_key_exist report', 'report array_key_exist', 'array_key_exist array', 'array_key_exist', 'array key', 'key array', 'array_key', 'error array', 'expect array']","['key', 'array', 'array_key_exist', 'key value', 'snippet', 'integer', 'numeric', 'value', 'problem', 'output']","['key', 'array', 'array key', 'array_key_exist', 'key value', 'expect output', 'problem expect', 'key report', 'key array', 'output error']","https://github.com/phpstan/phpstan/issues/3474
https://github.com/phpstan/phpstan/issues/9908
https://github.com/phpstan/phpstan/issues/3727
https://github.com/phpstan/phpstan/issues/13013
https://github.com/phpstan/phpstan/issues/6163",68,41,71,1,0,0,,,,,,phpstan/phpstan (199),Array (Map) Key handling,Errors in array key handling (PHP specific),Y
11,165,0.01239296981,Call Graph,"['graph', 'edge', 'callgraph', 'spark', 'slice', 'node', 'args', 'exception', 'mainstring', 'mainstring args']","['build graph', 'generate callgraph', 'callgraphbuilder', 'construct graph', 'generate graph', 'graph algorithm', 'graph edge', 'callgraph', 'edge graph', 'graph']","['graph', 'edge', 'callgraph', 'spark', 'node', 'exception', 'thread', 'entrypoint', 'analysis', 'follow']","['graph', 'edge', 'callgraph', 'spark', 'node', 'algorithm', 'mainstring args', 'generate graph', 'second spark', 'exception thread']","https://github.com/soot-oss/soot/issues/2080
https://github.com/soot-oss/soot/issues/463
https://github.com/soot-oss/soot/issues/39
https://github.com/soot-oss/soot/issues/2063
https://github.com/soot-oss/soot/issues/1160",14,31,15,1,4,13,,,,,,"soot-oss/soot (57)
soot-oss/SootUp (47)
wala/WALA (33)
secure-software-engineering/FlowDroid (12)
diffblue/cbmc (4)
opalj/opal (3)
vitsalis/PyCG (3)
secure-software-engineering/phasar (2)
arguslab/Argus-SAF (2)
phpstan/phpstan (1)
scottrogowski/code2flow (1)",Call-graph generation,Call graph generation errors,Y
12,124,0.009313504582,Closures,"['closure', 'variadic', 'expect', 'bind', 'snippet', 'snippet reproduce', 'code snippet', 'reproduce problem', 'expect output', 'closure bind']","['expect closure', 'error closure', 'closure report', 'closure code', 'closure param', 'closure pass', 'problem closure', 'report closure', 'closuretype', 'param closure']","['closure', 'variadic', 'bind', 'problem', 'reproduce', 'report', 'output', 'help', 'callable', 'param']","['closure', 'variadic', 'expect', 'snippet reproduce', 'expect output', 'closure bind', 'problem expect', 'closure report', 'report closure', 'closure closure']","https://github.com/phpstan/phpstan/issues/11099
https://github.com/phpstan/phpstan/issues/12526
https://github.com/phpstan/phpstan/issues/4807
https://github.com/phpstan/phpstan/issues/4046
https://github.com/phpstan/phpstan/issues/5164",46,21,40,0,0,0,,,,,,"phpstan/phpstan (123)
scottrogowski/code2flow (1)",Handling closures,Limitation in handling anonymous functions and closures,Y
13,205,0.01539732612,Compilation,"['bin', 'usr bin', 'usr', 'make', 'bin ld', 'relocation', 'ld relocation', 'ld', 'recompile fpic', 'make share']","['cmake', 'build', 'recompile', 'recompile fpic', 'clang', 'r_x86_64_32 rodata', 'r_x86_64_32', 'r_x86_64_32s rodata', 'r_x86_64_32s', 'relocation r_x86_64_32']","['relocation', 'recompile', 'share', 'amd64', 'unpack', 'backend', 'clang', 'symbol', 'focal', 'unselected']","['bin ld', 'ld relocation', 'share recompile', 'recompile fpic', 'recompile', 'relocation r_x86_64_32s', 'r_x86_64_32s', 'symbol make', 'r_x86_64_32', 'relocation r_x86_64_32']","https://github.com/facebook/infer/issues/1294
https://github.com/facebook/infer/issues/944
https://github.com/facebook/infer/issues/887
https://github.com/facebook/infer/issues/590
https://github.com/facebook/infer/issues/634",39,27,15,1,25,3,,,,,,"facebook/infer (101)
diffblue/cbmc (58)
secure-software-engineering/phasar (34)
soot-oss/soot (4)
soot-oss/SootUp (3)
spotbugs/spotbugs (3)
wala/WALA (1)
pmd/pmd (1)",build issues,Clang compilation errors,Y
14,204,0.01532221721,IR,"['r0', 'jimple', 'virtualinvoke', 'r1', 'specialinvoke', 'r4', 'stack0', 'label1', 'info', 'label2']","['jimple file', 'jimple code', 'generate jimple', 'convert jimple', 'bytecode', 'hashcode', 'equal hashcode', 'file', 'jimple', 'generate']","['jimple', 'info', 'abstraction', 'neighbor', 'hashcode', 'jimple code', 'equal', 'local', 'analysis', 'exception']","['jimple', 'abstraction neighbor', 'neighbor abstraction', 'neighbor', 'analysis cache', 'hashcode', 'info analysis', 'jimple code', 'jimple file', 'generate']","https://github.com/soot-oss/soot/issues/522
https://github.com/soot-oss/SootUp/issues/107
https://github.com/soot-oss/soot/issues/1847
https://github.com/soot-oss/SootUp/issues/942
https://github.com/soot-oss/SootUp/issues/173",32,31,19,1,12,15,,,,,,"soot-oss/soot (107)
soot-oss/SootUp (57)
spotbugs/spotbugs (14)
secure-software-engineering/FlowDroid (7)
wala/WALA (6)
pmd/pmd (4)
facebook/infer (4)
phpstan/phpstan (2)
opalj/opal (1)
diffblue/cbmc (1)
scottrogowski/code2flow (1)",errors when generating IR (Jimple),Jimple code analysis limitation,Y
15,213,0.01599819739,Build System,"['spotbug', 'task', 'gradle', 'エラー', 'spotbug spotbug', 'build', 'plugin', 'gradlew', 'シンボル', 'エラー エラー']","['gradle build', 'gradlew build', 'version gradle', 'build fail', 'failure build', 'gradle plugin', 'gradle', 'gradlew', 'debug', 'info debug']","['gradle', 'task', 'シンボル', 'build', 'gradlew', 'plugin', 'workitem', 'fail', 'project', 'ipath']","['spotbug', 'gradle', 'gradlew', 'spotbug spotbug', 'workitem エラー', 'build fail', 'error 14', 'エラー シンボルを見つけら', 'gradle plugin', 'findbugsaction']","https://github.com/spotbugs/spotbugs/issues/884
https://github.com/spotbugs/spotbugs/issues/42
https://github.com/spotbugs/spotbugs/issues/1613
https://github.com/spotbugs/spotbugs/issues/440
https://github.com/wala/WALA/issues/735",40,27,67,2,24,3,,,,,,"spotbugs/spotbugs (168)
wala/WALA (19)
pmd/pmd (6)
soot-oss/soot (4)
facebook/infer (3)
soot-oss/SootUp (3)
yanniss/doop-deprecated (2)
secure-software-engineering/FlowDroid (2)
phpstan/phpstan (2)
plast-lab/doop (2)
arguslab/Argus-SAF (1)
diffblue/cbmc (1)",build issues,Build system error (Gradle),Y
16,137,0.01028992038,Iterables,"['iterable', 'iterator', 'traversable', 'iteratoraggregate', 'implement', 'splobjectstorage', 'collection', 'implement iterator', 'problem', 'expect']","['iterator report', 'iterable report', 'iterator implement', 'iterator iteratoraggregate', 'iterator iterator', 'implement iterator', 'iterator code', 'specify iterable', 'implement iteratoraggregate', 'iteratoraggregate']","['iterable', 'iterator', 'traversable', 'iteratoraggregate', 'implement', 'iterable report', 'problem', 'array', 'output', 'report']","['iterable', 'iterator', 'traversable', 'iteratoraggregate', 'iterable report', 'implement iterator', 'iterable iterable', 'iterator iterator', 'expect output', 'implement iteratoraggregate']","https://github.com/phpstan/phpstan/issues/4566
https://github.com/phpstan/phpstan/issues/7185
https://github.com/phpstan/phpstan/issues/847
https://github.com/phpstan/phpstan/issues/10835
https://github.com/phpstan/phpstan/issues/3149",55,18,56,2,0,2,,,,,,"phpstan/phpstan (125)
spotbugs/spotbugs (3)
pmd/pmd (3)
wala/WALA (2)
soot-oss/soot (2)
facebook/infer (1)
diffblue/cbmc (1)",Handling Iterables,Limitation in handling iterable interface,Y
17,102,0.007661108607,DateFormat,"['datetime', 'date', 'datetimeimmutable', 'datetimeinterface', 'dateperiod', 'dateinterval', 'problem', 'code snippet', 'snippet', 'reproduce problem']","['error datetime', 'datetime datetimeimmutable', 'date datetimeimmutable', 'datetimeimmutable', 'datetimeimmutable evaluate', 'error date', 'datetime', 'datetimenull', 'datetime date', 'datetime format']","['datetime', 'date', 'datetimeimmutable', 'datetimeinterface', 'dateperiod', 'dateinterval', 'problem', 'startdate', 'datetimenull', 'time']","['datetime', 'datetimeimmutable', 'datetimeinterface', 'dateperiod', 'dateinterval', 'datetimenull', 'problem expect', 'dateperiod constructor', 'datetimezone', 'timezone']","https://github.com/phpstan/phpstan/issues/5953
https://github.com/phpstan/phpstan/issues/11470
https://github.com/phpstan/phpstan/issues/10893
https://github.com/phpstan/phpstan/issues/2316
https://github.com/phpstan/phpstan/issues/9692",44,10,35,2,1,0,,,,,,"phpstan/phpstan (99)
pmd/pmd (1)
secure-software-engineering/phasar (1)
diffblue/cbmc (1)",Date format related,Date format handling issues,Y
18,147,0.01104100946,Inheritance,"['parent', 'extend', 'child', 'constructor', 'foo', 'report', 'inheritance', 'code snippet', 'snippet', 'expect output']","['error parent', 'parent constructor', 'parent report', 'inheritance report', 'report parent', 'inherit constructor', 'error report', 'parentclass', 'report child', 'constructor']","['parent', 'extend', 'child', 'constructor', 'inheritance', 'base', 'foo', 'ifoo', 'report', 'override']","['parent', 'extend', 'constructor', 'inheritance', 'parent constructor', 'expect output', 'inherit', 'snippet reproduce', 'extend base', 'subclass']","https://github.com/phpstan/phpstan/issues/2160
https://github.com/phpstan/phpstan/issues/11454
https://github.com/phpstan/phpstan/issues/7727
https://github.com/phpstan/phpstan/issues/11275
https://github.com/phpstan/phpstan/issues/8316",62,22,42,1,1,1,,,,,,"phpstan/phpstan (129)
spotbugs/spotbugs (8)
wala/WALA (3)
diffblue/cbmc (3)
soot-oss/soot (3)
arguslab/Argus-SAF (1)",Inheritance related,Errors in handling inheritance,Y
19,202,0.0151719994,Property,"['property', 'access', 'undefined property', 'access undefined', 'property report', 'snippet', 'report', 'expect output', 'snippet reproduce', 'code snippet']","['property error', 'report property', 'property report', 'undefined property', 'access property', 'expect output', 'property access', 'error report', 'access undefined', 'problem expect']","['property', 'access', 'undefined property', 'undefined', 'report', 'today', 'help', 'happy', 'way', 'happy way']","['property', 'undefined property', 'access undefined', 'access property', 'undefined', 'property report', 'expect output', 'problem expect', 'dynamic property', 'report property']","https://github.com/phpstan/phpstan/issues/1704
https://github.com/phpstan/phpstan/issues/9097
https://github.com/phpstan/phpstan/issues/8501
https://github.com/phpstan/phpstan/issues/12160
https://github.com/phpstan/phpstan/issues/10540",82,19,57,0,0,0,,,,,,"phpstan/phpstan (193)
spotbugs/spotbugs (3)
facebook/infer (3)
pmd/pmd (2)
soot-oss/SootUp (1)",Property (Field) related,Limitations in property handling,Y
20,152,0.011416554,Type Inference,"['numeric', 'integer', 'range', 'snippet', 'code snippet', 'snippet reproduce', 'expect output', 'problem expect', 'reproduce problem', 'number']","['numeric report', 'numeric strict', 'numeric', 'is_numeric', 'numeric string', 'numeric code', 'number_format', 'var numeric', 'gauranteed numeric', 'falsy numeric']","['numeric', 'integer', 'range', 'division', 'is_numeric', 'snippet', 'falsy', 'problem', 'reproduce', 'output']","['numeric', 'integer', 'range', 'division', 'is_numeric', 'problem expect', 'code snippet', 'expect output', 'expect', 'integer range']","https://github.com/phpstan/phpstan/issues/3874
https://github.com/phpstan/phpstan/issues/7265
https://github.com/phpstan/phpstan/issues/8562
https://github.com/phpstan/phpstan/issues/10486
https://github.com/spotbugs/spotbugs/issues/1481",61,14,42,1,0,0,,,,,,"phpstan/phpstan (142)
pmd/pmd (3)
facebook/infer (3)
spotbugs/spotbugs (2)
scottrogowski/code2flow (1)
diffblue/cbmc (1)",Type inference,Incorrect type inference,Y
21,102,0.007661108607,Compilation,"['line character', 'character', 'xcodebuild', 'character call', 'call file', 'file line', 'call', 'file', 'configuration debug', 'build']","['command xcodebuild', 'xcodebuild', 'xcodebuild workspace', 'sdk iphonesimulator', 'xcode', 'fail compilec', 'debug sdk', 'command fail', 'iphonesimulator', 'file line']","['xcodebuild', 'character', 'build', 'file', 'call', 'unknown', 'workspace', 'framework', 'uint32_t', 'line']","['xcodebuild', 'configuration debug', 'file line', 'build module', 'uint32_t', 'iphonesimulator', 'sdk iphonesimulator', 'debug sdk', 'xcodebuild workspace', 'workspace scheme']","https://github.com/facebook/infer/issues/204
https://github.com/facebook/infer/issues/290
https://github.com/facebook/infer/issues/335
https://github.com/facebook/infer/issues/59
https://github.com/facebook/infer/issues/939",7,8,25,0,0,1,,,,,,"facebook/infer (92)
pmd/pmd (8)
wala/WALA (1)
phpstan/phpstan (1)",Compilation errors,Compilation errors (iOS),Y
22,111,0.008337088779,Nullability Analysis,"['nullable', 'nullsafe', 'operator', 'coalescing', 'non nullable', 'coalescing operator', 'nullsafe operator', 'report', 'expect', 'expect output']","['nullable report', 'report nullsafe', 'report nullable', 'error nullsafe', 'nullsafe property', 'expect output', 'nullsafe operator', 'nullable code', 'positive nullsafe', 'remove nullability']","['nullable', 'nullsafe', 'operator', 'coalescing', 'nullsafe operator', 'coalesce', 'non', 'report', 'issafe', 'nullable report']","['nullsafe', 'non nullable', 'nullsafe operator', 'expect output', 'nullable report', 'problem expect', 'report nullable', 'is_null', 'coalesce operator', 'nullsafe property']","https://github.com/phpstan/phpstan/issues/6934
https://github.com/phpstan/phpstan/issues/5351
https://github.com/phpstan/phpstan/issues/5868
https://github.com/phpstan/phpstan/issues/8530
https://github.com/phpstan/phpstan/issues/6922",39,23,36,0,2,0,,,,,,"phpstan/phpstan (99)
spotbugs/spotbugs (5)
facebook/infer (4)
soot-oss/soot (3)",Limitation in nullability analysis,Limitation in nullability analysis,Y
23,114,0.008562415502,Unable to summarize topic,"['value nette', 'di container', 'nette di', 'typeerror value', 'di', 'symfony', 'nette', 'typeerror', 'container', 'container typeerror']","['run symfony', 'symfony command', 'report symfony', 'symfony project', 'symfony console', 'symfony', 'doctrine extension', 'doctrine', 'error internal', 'internal error']","['symfony', 'doctrine', 'internal', 'internal error', 'error', 'project', 'reflection', 'vendor', 'response', 'output']","['symfony', 'doctrine', 'internal error', 'error', 'reflection', 'reflection error', 'symfony project', 'error find', 'error internal', 'find reflection']","https://github.com/phpstan/phpstan/issues/2641
https://github.com/phpstan/phpstan/issues/7112
https://github.com/phpstan/phpstan/issues/4272
https://github.com/phpstan/phpstan/issues/5806
https://github.com/phpstan/phpstan/issues/12108",67,9,35,1,0,0,,,,,,"phpstan/phpstan (113)
soot-oss/SootUp (1)",Unable to summarize topic,(Not sure about this),Y
24,208,0.01562265285,Config Files,"['path', 'cache', 'file', 'analyse', 'result cache', 'directory', 'error', 'config', 'result', 'folder']","['excludepath analyse', 'path excludepath', 'excludepath', 'excludes_analyse', 'ignore error', 'error ignore', 'path match', 'file path', 'path src', 'error find']","['path', 'cache', 'excludepath', 'exclude', 'file', 'directory', 'config', 'src', 'folder', 'ignoreerror']","['path', 'excludepath', 'exclude', 'directory', 'src', 'ignoreerror', 'scandirectorie', 'ignore error', 'config file', 'invalid configuration']","https://github.com/phpstan/phpstan/issues/9237
https://github.com/phpstan/phpstan/issues/3749
https://github.com/phpstan/phpstan/issues/9366
https://github.com/phpstan/phpstan/issues/12844
https://github.com/phpstan/phpstan/issues/4796",99,23,48,2,5,3,,,,,,"phpstan/phpstan (162)
soot-oss/soot (9)
spotbugs/spotbugs (6)
pmd/pmd (6)
facebook/infer (5)
soot-oss/SootUp (4)
diffblue/cbmc (4)
yanniss/doop-deprecated (3)
secure-software-engineering/FlowDroid (2)
scottrogowski/code2flow (2)
vitsalis/PyCG (2)
secure-software-engineering/phasar (1)
security-code-scan/security-code-scan (1)
arguslab/Argus-SAF (1)",Unexpected behaviour (configuration related),Incorrect scan of project directory,N
25,169,0.01269340544,(Android) Instrumentation,"['androidruntime', 'androidruntime 19', '19', 'android', '13', 'na', '19 50', '50 10', '583 androidruntime', '10 583']","['androidruntime 19', 'androidruntime 13', 'androidruntime', 'androidruntime androidruntime', '583 androidruntime', 'androidruntime source', '207 androidruntime', '081 androidruntime', 'android', '997 androidruntime']","['androidruntime', 'android', 'soloader', 'acra', 'thread', 'breakpadmanager', 'application', 'apks', 'exception', 'crash']","['androidruntime', 'androidruntime 19', '583 androidruntime', 'androidruntime androidruntime', 'android', 'soloader', '081 androidruntime', 'androidruntime source', 'soloader soloader', '207 androidruntime']","https://github.com/soot-oss/soot/issues/1042
https://github.com/soot-oss/soot/issues/1152
https://github.com/soot-oss/soot/issues/1143
https://github.com/soot-oss/soot/issues/112
https://github.com/soot-oss/soot/issues/246",22,32,13,3,11,0,,,,,,"soot-oss/soot (111)
secure-software-engineering/FlowDroid (30)
wala/WALA (8)
arguslab/Argus-SAF (7)
facebook/infer (7)
soot-oss/SootUp (5)
pmd/pmd (1)",APK instrumentation,Errors after soot instrumentation (Soot specific),Y
26,118,0.0088628511341445,Strict Comparison,"['comparison', 'strict comparison', 'strict', 'evaluate', 'comparison evaluate', 'compare', 'snippet', 'expect output', 'code snippet', 'output']","['expect output', 'error comparison', 'strict comparison', 'evaluate compare', 'comparison evaluate', 'evaluate expect', 'problem expect', 'output strict', 'comparison operation', 'error strict']","['comparison', 'strict comparison', 'strict', 'compare', 'snippet', 'output', 'uom', 'problem', 'report', 'reproduce']","['comparison evaluate', 'expect output', 'comparison operation', 'snippet reproduce', 'problem expect', 'expect', 'output error', 'evaluate report', 'evaluate code', 'echo substrtxt']","https://github.com/phpstan/phpstan/issues/9294
https://github.com/phpstan/phpstan/issues/11035
https://github.com/phpstan/phpstan/issues/2192
https://github.com/phpstan/phpstan/issues/2894
https://github.com/phpstan/phpstan/issues/260",44,22,37,1,0,0,,,,,,"phpstan/phpstan (111)
spotbugs/spotbugs (4)
diffblue/cbmc (2)
soot-oss/soot (1)",,,
