ID,Count,Percentage,Refined Topic,Representation,MaximalMarginalRelevance,Top Documents
11,199,0.01494667268,Array Handling,"['key', 'array', 'array key', 'array_key_exist', 'expect', 'snippet', 'code snippet', 'expect output', 'integer', 'snippet reproduce']","['key', 'array', 'array key', 'array_key_exist', 'key value', 'expect output', 'problem expect', 'key report', 'key array', 'output error']","https://github.com/phpstan/phpstan/issues/3474
https://github.com/phpstan/phpstan/issues/9908
https://github.com/phpstan/phpstan/issues/3727
https://github.com/phpstan/phpstan/issues/13013
https://github.com/phpstan/phpstan/issues/6163"
12,165,0.01239296981,Call Graph,"['graph', 'edge', 'callgraph', 'spark', 'slice', 'node', 'args', 'exception', 'mainstring', 'mainstring args']","['graph', 'edge', 'callgraph', 'spark', 'node', 'algorithm', 'mainstring args', 'generate graph', 'second spark', 'exception thread']","https://github.com/soot-oss/soot/issues/2080
https://github.com/soot-oss/soot/issues/463
https://github.com/soot-oss/soot/issues/39
https://github.com/soot-oss/soot/issues/2063
https://github.com/soot-oss/soot/issues/1160"
13,124,0.009313504582,Closures,"['closure', 'variadic', 'expect', 'bind', 'snippet', 'snippet reproduce', 'code snippet', 'reproduce problem', 'expect output', 'closure bind']","['closure', 'variadic', 'expect', 'snippet reproduce', 'expect output', 'closure bind', 'problem expect', 'closure report', 'report closure', 'closure closure']","https://github.com/phpstan/phpstan/issues/11099
https://github.com/phpstan/phpstan/issues/12526
https://github.com/phpstan/phpstan/issues/4807
https://github.com/phpstan/phpstan/issues/4046
https://github.com/phpstan/phpstan/issues/5164"
14,205,0.01539732612,Compilation,"['bin', 'usr bin', 'usr', 'make', 'bin ld', 'relocation', 'ld relocation', 'ld', 'recompile fpic', 'make share']","['bin ld', 'ld relocation', 'share recompile', 'recompile fpic', 'recompile', 'relocation r_x86_64_32s', 'r_x86_64_32s', 'symbol make', 'r_x86_64_32', 'relocation r_x86_64_32']","https://github.com/facebook/infer/issues/1294
https://github.com/facebook/infer/issues/944
https://github.com/facebook/infer/issues/887
https://github.com/facebook/infer/issues/590
https://github.com/facebook/infer/issues/634"
15,204,0.01532221721,IR,"['r0', 'jimple', 'virtualinvoke', 'r1', 'specialinvoke', 'r4', 'stack0', 'label1', 'info', 'label2']","['jimple', 'abstraction neighbor', 'neighbor abstraction', 'neighbor', 'analysis cache', 'hashcode', 'info analysis', 'jimple code', 'jimple file', 'generate']","https://github.com/soot-oss/soot/issues/522
https://github.com/soot-oss/SootUp/issues/107
https://github.com/soot-oss/soot/issues/1847
https://github.com/soot-oss/SootUp/issues/942
https://github.com/soot-oss/SootUp/issues/173"
16,213,0.01599819739,Build System,"['spotbug', 'task', 'gradle', 'エラー', 'spotbug spotbug', 'build', 'plugin', 'gradlew', 'シンボル', 'エラー エラー']","['spotbug', 'gradle', 'gradlew', 'spotbug spotbug', 'workitem エラー', 'build fail', 'error 14', 'エラー シンボルを見つけら', 'gradle plugin', 'findbugsaction']","https://github.com/spotbugs/spotbugs/issues/884
https://github.com/spotbugs/spotbugs/issues/42
https://github.com/spotbugs/spotbugs/issues/1613
https://github.com/spotbugs/spotbugs/issues/440
https://github.com/wala/WALA/issues/735"
17,137,0.01028992038,Iterables,"['iterable', 'iterator', 'traversable', 'iteratoraggregate', 'implement', 'splobjectstorage', 'collection', 'implement iterator', 'problem', 'expect']","['iterable', 'iterator', 'traversable', 'iteratoraggregate', 'iterable report', 'implement iterator', 'iterable iterable', 'iterator iterator', 'expect output', 'implement iteratoraggregate']","https://github.com/phpstan/phpstan/issues/4566
https://github.com/phpstan/phpstan/issues/7185
https://github.com/phpstan/phpstan/issues/847
https://github.com/phpstan/phpstan/issues/10835
https://github.com/phpstan/phpstan/issues/3149"
18,102,0.007661108607,DateFormat,"['datetime', 'date', 'datetimeimmutable', 'datetimeinterface', 'dateperiod', 'dateinterval', 'problem', 'code snippet', 'snippet', 'reproduce problem']","['datetime', 'datetimeimmutable', 'datetimeinterface', 'dateperiod', 'dateinterval', 'datetimenull', 'problem expect', 'dateperiod constructor', 'datetimezone', 'timezone']","https://github.com/phpstan/phpstan/issues/5953
https://github.com/phpstan/phpstan/issues/11470
https://github.com/phpstan/phpstan/issues/10893
https://github.com/phpstan/phpstan/issues/2316
https://github.com/phpstan/phpstan/issues/9692"
19,147,0.01104100946,Inheritance,"['parent', 'extend', 'child', 'constructor', 'foo', 'report', 'inheritance', 'code snippet', 'snippet', 'expect output']","['parent', 'extend', 'constructor', 'inheritance', 'parent constructor', 'expect output', 'inherit', 'snippet reproduce', 'extend base', 'subclass']","https://github.com/phpstan/phpstan/issues/2160
https://github.com/phpstan/phpstan/issues/11454
https://github.com/phpstan/phpstan/issues/7727
https://github.com/phpstan/phpstan/issues/11275
https://github.com/phpstan/phpstan/issues/8316"
20,202,0.0151719994,Property,"['property', 'access', 'undefined property', 'access undefined', 'property report', 'snippet', 'report', 'expect output', 'snippet reproduce', 'code snippet']","['property', 'undefined property', 'access undefined', 'access property', 'undefined', 'property report', 'expect output', 'problem expect', 'dynamic property', 'report property']","https://github.com/phpstan/phpstan/issues/1704
https://github.com/phpstan/phpstan/issues/9097
https://github.com/phpstan/phpstan/issues/8501
https://github.com/phpstan/phpstan/issues/12160
https://github.com/phpstan/phpstan/issues/10540"
21,152,0.011416554,Type Inference,"['numeric', 'integer', 'range', 'snippet', 'code snippet', 'snippet reproduce', 'expect output', 'problem expect', 'reproduce problem', 'number']","['numeric', 'integer', 'range', 'division', 'is_numeric', 'problem expect', 'code snippet', 'expect output', 'expect', 'integer range']","https://github.com/phpstan/phpstan/issues/3874
https://github.com/phpstan/phpstan/issues/7265
https://github.com/phpstan/phpstan/issues/8562
https://github.com/phpstan/phpstan/issues/10486
https://github.com/spotbugs/spotbugs/issues/1481"
22,102,0.007661108607,Compilation,"['line character', 'character', 'xcodebuild', 'character call', 'call file', 'file line', 'call', 'file', 'configuration debug', 'build']","['xcodebuild', 'configuration debug', 'file line', 'build module', 'uint32_t', 'iphonesimulator', 'sdk iphonesimulator', 'debug sdk', 'xcodebuild workspace', 'workspace scheme']","https://github.com/facebook/infer/issues/204
https://github.com/facebook/infer/issues/290
https://github.com/facebook/infer/issues/335
https://github.com/facebook/infer/issues/59
https://github.com/facebook/infer/issues/939"
23,111,0.008337088779,Nullability Analysis,"['nullable', 'nullsafe', 'operator', 'coalescing', 'non nullable', 'coalescing operator', 'nullsafe operator', 'report', 'expect', 'expect output']","['nullsafe', 'non nullable', 'nullsafe operator', 'expect output', 'nullable report', 'problem expect', 'report nullable', 'is_null', 'coalesce operator', 'nullsafe property']","https://github.com/phpstan/phpstan/issues/6934
https://github.com/phpstan/phpstan/issues/5351
https://github.com/phpstan/phpstan/issues/5868
https://github.com/phpstan/phpstan/issues/8530
https://github.com/phpstan/phpstan/issues/6922"
24,114,0.008562415502,Unable to summarize topic,"['value nette', 'di container', 'nette di', 'typeerror value', 'di', 'symfony', 'nette', 'typeerror', 'container', 'container typeerror']","['symfony', 'doctrine', 'internal error', 'error', 'reflection', 'reflection error', 'symfony project', 'error find', 'error internal', 'find reflection']","https://github.com/phpstan/phpstan/issues/2641
https://github.com/phpstan/phpstan/issues/7112
https://github.com/phpstan/phpstan/issues/4272
https://github.com/phpstan/phpstan/issues/5806
https://github.com/phpstan/phpstan/issues/12108"
25,208,0.01562265285,Config Files,"['path', 'cache', 'file', 'analyse', 'result cache', 'directory', 'error', 'config', 'result', 'folder']","['path', 'excludepath', 'exclude', 'directory', 'src', 'ignoreerror', 'scandirectorie', 'ignore error', 'config file', 'invalid configuration']","https://github.com/phpstan/phpstan/issues/9237
https://github.com/phpstan/phpstan/issues/3749
https://github.com/phpstan/phpstan/issues/9366
https://github.com/phpstan/phpstan/issues/12844
https://github.com/phpstan/phpstan/issues/4796"
26,169,0.01269340544,(Android) Instrumentation,"['androidruntime', 'androidruntime 19', '19', 'android', '13', 'na', '19 50', '50 10', '583 androidruntime', '10 583']","['androidruntime', 'androidruntime 19', '583 androidruntime', 'androidruntime androidruntime', 'android', 'soloader', '081 androidruntime', 'androidruntime source', 'soloader soloader', '207 androidruntime']","https://github.com/soot-oss/soot/issues/1042
https://github.com/soot-oss/soot/issues/1152
https://github.com/soot-oss/soot/issues/1143
https://github.com/soot-oss/soot/issues/112
https://github.com/soot-oss/soot/issues/246"
27,118,0.008862851134,Strict comparison,"['comparison', 'strict comparison', 'strict', 'evaluate', 'comparison evaluate', 'compare', 'snippet', 'expect output', 'code snippet', 'output']","['comparison evaluate', 'expect output', 'comparison operation', 'snippet reproduce', 'problem expect', 'expect', 'output error', 'evaluate report', 'evaluate code', 'echo substrtxt']","https://github.com/phpstan/phpstan/issues/9294
https://github.com/phpstan/phpstan/issues/11035
https://github.com/phpstan/phpstan/issues/2192
https://github.com/phpstan/phpstan/issues/2894
https://github.com/phpstan/phpstan/issues/260"
28,117,0.008787742226,Memory,"['memory', 'byte', '19 step', '10 19', '15 10', 'step 15', 'allow memory', '15', 'memory size', 'exhaust']","['memory', 'byte', 'allow memory', 'memory size', 'byte exhaust', 'allocate byte', 'size byte', 'memory limit', 'byte line', 'memory consumption']","https://github.com/phpstan/phpstan/issues/2694
https://github.com/phpstan/phpstan/issues/4682
https://github.com/phpstan/phpstan/issues/11027
https://github.com/phpstan/phpstan/issues/8376
https://github.com/phpstan/phpstan/issues/6740"
29,105,0.007886435331,Callables,"['callable', 'callback', 'expect callable', 'expect', 'call_user_func', 'is_callable', 'snippet', 'snippet reproduce', 'reproduce problem', 'expect output']","['callable', 'expect callable', 'call_user_func', 'is_callable', 'expect', 'callable report', 'expect output', 'callable mixed', 'problem expect', 'call_user_func expect']","https://github.com/phpstan/phpstan/issues/4438
https://github.com/phpstan/phpstan/issues/152
https://github.com/phpstan/phpstan/issues/1358
https://github.com/phpstan/phpstan/issues/8903
https://github.com/phpstan/phpstan/issues/3818"
30,120,0.00901306895,Parsing Errors,"['file line', 'live', 'file', 'folder', 'sourcefile', 'line', 'live parent', 'parent folder', 'file live', 'live folder']","['file line', 'file', 'token recognition', 'recognition error', 'utf', 'lexical error', 'unicode', 'line file', 'dm_default_encoding', 'util file']","https://github.com/pmd/pmd/issues/4941
https://github.com/pmd/pmd/issues/5333
https://github.com/pmd/pmd/issues/2815
https://github.com/pmd/pmd/issues/1830
https://github.com/pmd/pmd/issues/2615"
31,87,0.006534474989,Property,"['readonly', 'readonly property', 'property', 'constructor', 'read', 'uninitialized', 'uninitialized readonly', 'access uninitialized', 'access', 'assign']","['readonly property', 'property', 'uninitialized', 'uninitialized readonly', 'access uninitialized', 'property assign', 'property read', 'outside constructor', 'expect output', 'property report']","https://github.com/phpstan/phpstan/issues/8771
https://github.com/phpstan/phpstan/issues/1537
https://github.com/spotbugs/spotbugs/issues/2965
https://github.com/phpstan/phpstan/issues/6402
https://github.com/phpstan/phpstan/issues/7816"
32,74,0.005558059186,Unable to summarize a topic,"['assemblyname', 'assemblyname assemblyname', 'cultureneutral', 'visual', 'visual studio', 'studio', 'analyzer', 'yamldotnet version11', 'yamldotnet', 'version11 cultureneutral']","['assemblyname', 'assemblyname assemblyname', 'visual studio', 'yamldotnet version11', 'version11 cultureneutral', 'dotnet', 'system find', 'assembly', 'file assembly', 'standalone tool']","https://github.com/security-code-scan/security-code-scan/issues/74
https://github.com/security-code-scan/security-code-scan/issues/218
https://github.com/security-code-scan/security-code-scan/issues/211
https://github.com/security-code-scan/security-code-scan/issues/264
https://github.com/security-code-scan/security-code-scan/issues/282"
33,74,0.005558059186,Unable to summarize a topic,"['idea', 'intellij', 'resource find', 'intellij idea', 'intellij plugin', 'infos intellij', 'product infos', 'idea idea', 'server jetbrains', 'idea intellij']","['intellij', 'intellij idea', 'intellij plugin', 'infos intellij', 'idea build', 'server jetbrains', 'idea intellij', 'jvm openjdk', 'build iu', 'openjdk']","https://github.com/spotbugs/spotbugs/issues/993
https://github.com/spotbugs/spotbugs/issues/1559
https://github.com/spotbugs/spotbugs/issues/2763
https://github.com/spotbugs/spotbugs/issues/1562
https://github.com/spotbugs/spotbugs/issues/2198"
34,84,0.006309148265,Unable to summarize a topic,"['objectclosure', 'objectclosure objectclosure', 'objectclosure array', 'array objectclosure', 'array array', 'array', 'internal error', 'internal', 'error internal', 'arraytype']","['objectclosure', 'objectclosure objectclosure', 'objectclosure array', 'array objectclosure', 'internal error', 'error internal', 'trace objectclosure', 'error exit', 'array child', 'error find']","https://github.com/phpstan/phpstan/issues/8336
https://github.com/phpstan/phpstan/issues/8747
https://github.com/phpstan/phpstan/issues/12164
https://github.com/phpstan/phpstan/issues/11286
https://github.com/phpstan/phpstan/issues/9520"
35,161,0.01209253417,Generic Types,"['generic', 'snippet', 'expect', 'snippet reproduce', 'reproduce problem', 'code snippet', 'expect output', 'problem expect', 'output', 'report']","['generic', 'generics', 'reproduce problem', 'problem expect', 'snippet reproduce', 'expect output', 'generic report', 'expect', 'typehint', 'output error']","https://github.com/wala/WALA/issues/67
https://github.com/phpstan/phpstan/issues/3136
https://github.com/phpstan/phpstan/issues/5523
https://github.com/phpstan/phpstan/issues/10364
https://github.com/phpstan/phpstan/issues/11130"
36,71,0.005332732462,Parsing Errors,"['quotesno', 'quotesno column', 'single quotesno', 'literal single', 'column', 'literal', 'select', 'single', 'plsql', 'column literal']","['quotesno', 'quotesno column', 'single quotesno', 'plsql', 'column literal', 'syntax error', 'syntax', 'parse exception', 'sql', 'column expect']","https://github.com/pmd/pmd/issues/1588
https://github.com/pmd/pmd/issues/3746
https://github.com/pmd/pmd/issues/3106
https://github.com/pmd/pmd/issues/1526
https://github.com/pmd/pmd/issues/1850"
37,247,0.01855190026,Unused Imports,"['rule', 'positive', 'code sample', 'sample', 'demonstrate issue', 'sample demonstrate', 'demonstrate', 'affects version', 'affects', 'description']","['unusedprivatemethod', 'maven', 'affects version', 'version rule', 'unusedprivatemethod positive', 'rule description', 'run maven', 'positive run', 'violation line', 'outcome report']","https://github.com/pmd/pmd/issues/5047
https://github.com/pmd/pmd/issues/4107
https://github.com/pmd/pmd/issues/3132
https://github.com/pmd/pmd/issues/4812
https://github.com/pmd/pmd/issues/4271"
38,104,0.007811326423,Speed,"['gemeinde', 'gemarkung', 'd_code country', 'd_code', 'country array', 'country', 'gemarkung gemeinde', 'array code', 'new gemeinde', 'new']","['d_code country', 'd_code', 'country array', 'array code', 'array', 'code', 'performance', 'check data', 'slowdown', 'constant in_array']","https://github.com/phpstan/phpstan/issues/11263
https://github.com/diffblue/cbmc/issues/8617
https://github.com/phpstan/phpstan/issues/11979
https://github.com/phpstan/phpstan/issues/12661
https://github.com/phpstan/phpstan/issues/7925"
39,100,0.007510890792,Loops,"['loop', 'define', 'code', 'statement', 'report', 'unreachable', 'condition', 'undefined', 'loop report', 'inside loop']","['loop', 'inside loop', 'loop report', 'loop condition', 'expect output', 'problem expect', 'statement code', 'code terminate', 'output error', 'define loop']","https://github.com/phpstan/phpstan/issues/6595
https://github.com/phpstan/phpstan/issues/11820
https://github.com/phpstan/phpstan/issues/4666
https://github.com/phpstan/phpstan/issues/11872
https://github.com/phpstan/phpstan/issues/2805"
40,97,0.007285564068,Test Suites,"['junit', 'test', 'rule', 'junit test', 'sample', 'code sample', 'description', 'sample demonstrate', 'demonstrate', 'demonstrate issue']","['junit', 'junit test', 'junit5', 'gradle', 'version rule', 'parameterizedtest', 'test test', 'testcase', 'testng', 'assertion message']","https://github.com/pmd/pmd/issues/1175
https://github.com/pmd/pmd/issues/4272
https://github.com/pmd/pmd/issues/4765
https://github.com/pmd/pmd/issues/940
https://github.com/pmd/pmd/issues/4532"
41,118,0.008862851134,Array Handling,"['shape', 'array shape', 'array', 'optional', 'key', 'typeparam', 'bool', 'code snippet', 'snippet reproduce', 'reproduce problem']","['array shape', 'array', 'shape report', 'expect output', 'code snippet', 'expect', 'problem expect', 'snippet reproduce', 'shape array', 'output error']","https://github.com/phpstan/phpstan/issues/10310
https://github.com/phpstan/phpstan/issues/13061
https://github.com/phpstan/phpstan/issues/4560
https://github.com/phpstan/phpstan/issues/6383
https://github.com/phpstan/phpstan/issues/6286"
42,111,0.008337088779,IDE Plugin,"['eclipse', 'plugin', 'eclipse plugin', 'project', 'findbug', 'bundle', 'findbugs', 'detector', 'plug', 'load start']","['eclipse', 'eclipse plugin', 'start activator', 'findbugs', 'extension point', 'eclipse plug', 'findbugs plugin', 'project eclipse', 'eclipse version', 'findbug']","https://github.com/spotbugs/spotbugs/issues/201
https://github.com/spotbugs/spotbugs/issues/2327
https://github.com/spotbugs/spotbugs/issues/1290
https://github.com/soot-oss/soot/issues/1359
https://github.com/spotbugs/spotbugs/issues/478"
43,135,0.01013970257,Constants,"['constant', 'define', 'constant define', 'undefined', 'docblock', 'problem', 'expect output', 'output', 'snippet', 'code snippet']","['constant', 'constant value', 'constant define', 'math pi', 'constant find', 'error constant', 'constant report', 'find constant', 'report constant', 'pi find']","https://github.com/phpstan/phpstan/issues/2960
https://github.com/phpstan/phpstan/issues/2044
https://github.com/phpstan/phpstan/issues/9564
https://github.com/phpstan/phpstan/issues/814
https://github.com/phpstan/phpstan/issues/6577"
44,138,0.01036502929,Stubs Related,"['stub', 'redis', 'stub file', 'phpstorm', 'report', 'expect', 'output', 'reproduce', 'expect output', 'snippet']","['stub', 'stub file', 'phpstorm', 'stubfile', 'couchbase_v3', 'phpstorm stub', 'phpdoc', 'error stub', 'stub report', 'couchbase']","https://github.com/phpstan/phpstan/issues/12826
https://github.com/phpstan/phpstan/issues/5460
https://github.com/phpstan/phpstan/issues/8481
https://github.com/phpstan/phpstan/issues/3184
https://github.com/phpstan/phpstan/issues/7461"
45,71,0.005332732462,Documentation,"['link', 'onvif', 'bm', 'page', 'download', 'broken', 'http', 'broken link', 'connect', 'doc']","['onvif', 'broken link', 'reference hqputmutexleave', 'link link', 'link wiki', 'page link', 'link page', 'redirect', 'code mirror', 'onvif onvif']","https://github.com/pmd/pmd/issues/2002
https://github.com/soot-oss/soot/issues/827
https://github.com/diffblue/cbmc/issues/7450
https://github.com/soot-oss/soot/issues/2073
https://github.com/facebook/infer/issues/1566"
46,86,0.006459366081,Unable to summarize a topic,"['match', 'match expression', 'expression', 'remain value', 'handle remain', 'expression handle', 'remain', 'handle', 'value', 'positive match']","['match expression', 'expression', 'expression handle', 'response match', 'positive match', 'match statement', 'problem expect', 'expect output', 'match report', 'error match']","https://github.com/spotbugs/spotbugs/issues/632
https://github.com/phpstan/phpstan/issues/6064
https://github.com/phpstan/phpstan/issues/12366
https://github.com/phpstan/phpstan/issues/8486
https://github.com/phpstan/phpstan/issues/4206"
47,65,0.004882079015,Type Inference,"['preg_match', 'regex', 'match', 'pattern', 'group', 'capture group', 'regex pattern', 'pattern invalid', 'capture', 'delimiter']","['preg_match', 'regex', 'regex pattern', 'pattern invalid', 'pattern regex', 'delimiter alphanumeric', 'invalid delimiter', 'backslash pattern', 'alphanumeric backslash', 'expect output']","https://github.com/phpstan/phpstan/issues/11862
https://github.com/phpstan/phpstan/issues/11490
https://github.com/phpstan/phpstan/issues/6551
https://github.com/phpstan/phpstan/issues/11479
https://github.com/phpstan/phpstan/issues/11331"
48,60,0.004506534475,Logs,"['logger', 'log', 'guardlogstatement', 'slf4j', 'logger logger', 'guard', 'rule', 'message', 'description', 'code sample']","['logger', 'log', 'guardlogstatement', 'logger logger', 'log debug', 'slf4j logger', 'org slf4j', 'affects version', 'logger call', 'logging']","https://github.com/pmd/pmd/issues/4492
https://github.com/pmd/pmd/issues/4710
https://github.com/pmd/pmd/issues/4376
https://github.com/pmd/pmd/issues/869
https://github.com/pmd/pmd/issues/3860"
49,62,0.004656752291,Unable to summarize a topic,"['objectclosure', 'laravel', 'objectclosure objectclosure', 'objectclosure array', 'array objectclosure', 'internal error', 'internal', 'array', 'array array', 'larastan']","['objectclosure', 'objectclosure objectclosure', 'laravel', 'objectclosure array', 'array objectclosure', 'internal error', 'array array', 'error internal', 'phpstan type', 'laravel project']","https://github.com/phpstan/phpstan/issues/10156
https://github.com/phpstan/phpstan/issues/7956
https://github.com/phpstan/phpstan/issues/3462
https://github.com/phpstan/phpstan/issues/8690
https://github.com/phpstan/phpstan/issues/8913"
50,73,0.005482950278,Array Handling,"['array_map', 'map', 'ds', 'callback', 'ds map', 'service', 'callable', 'array', 'callback array_map', 'expect']","['array_map', 'map', 'array', 'callback array_map', 'array_map expect', 'expect', 'expect output', 'report array_map', 'problem expect', 'arraythe']","https://github.com/phpstan/phpstan/issues/6011
https://github.com/phpstan/phpstan/issues/11664
https://github.com/phpstan/phpstan/issues/5730
https://github.com/phpstan/phpstan/issues/11297
https://github.com/phpstan/phpstan/issues/11100"
51,46,0.003455009764,Class Loading,"['memory mb', 'trunk command', 'mb stack', 'version trunk', 'trunk', 'files reproduce', 'mb', 'reproduce version', 'reproduce files', 'files']","['memory mb', 'trunk command', 'mb stack', 'files reproduce', 'stack trace', 'memory', 'process dir', 'dir memory', 'trace couldn39', 'phantom']","https://github.com/soot-oss/soot/issues/1348
https://github.com/soot-oss/soot/issues/396
https://github.com/soot-oss/soot/issues/1158
https://github.com/soot-oss/soot/issues/1821
https://github.com/soot-oss/soot/issues/1747"
52,52,0.003905663212,Unable to summarize a topic,"['doctrine', 'entity', 'repository', 'orm', 'collection', 'param', 'doctrine collection', 'tentityclass', 'arraycollection', 'property']","['doctrine', 'collection', 'entity', 'doctrine collection', 'arraycollection', 'orderby', 'doctrine orm', 'objectrepository', 'symfony', 'doctrine entity']","https://github.com/phpstan/phpstan/issues/3970
https://github.com/phpstan/phpstan/issues/4297
https://github.com/phpstan/phpstan/issues/2176
https://github.com/phpstan/phpstan/issues/7958
https://github.com/phpstan/phpstan/issues/8494"
53,57,0.004281207751,Unable to summarize a topic,"['android jar', 'process dir', 'trunk', 'version trunk', 'trunk command', 'jar', 'memory mb', 'android', 'mb stack', 'dir']","['android jar', 'process dir', 'trunk command', 'memory mb', 'mb stack', 'files reproduce', 'jar', 'process', 'stack trace', 'jar process']","https://github.com/soot-oss/soot/issues/1785
https://github.com/soot-oss/soot/issues/289
https://github.com/soot-oss/soot/issues/483
https://github.com/soot-oss/soot/issues/1945
https://github.com/soot-oss/soot/issues/1971"
