ID,Count,Percentage,Refined Topic,Representation,MaximalMarginalRelevance,Top Documents
11,56,0.01793721973,XPath,"['xpath', 'rule', 'node', 'attribute', 'expression', 'xpath rule', 'xpath query', 'query', 'xpath expression', 'tree']","['xpath', 'attribute', 'xpath rule', 'xpath query', 'xpath expression', 'rule xpath', 'element', 'saxon', 'domnode', 'xpath attribute']","https://github.com/pmd/pmd/issues/1115
https://github.com/pmd/pmd/issues/2523
https://github.com/pmd/pmd/issues/569
https://github.com/pmd/pmd/issues/2511
https://github.com/pmd/pmd/issues/3876"
12,114,0.03651505445,Error Management,"['error', 'baseline', 'file', 'ignore', 'ignore error', 'line', 'feature', 'level', 'request', 'feature request']","['baseline', 'ignore error', 'baseline file', 'error baseline', 'error pattern', 'generate baseline', 'baseline feature', 'regenerate baseline', 'remove ignore', 'find error']","https://github.com/phpstan/phpstan/issues/3973
https://github.com/phpstan/phpstan/issues/3082
https://github.com/phpstan/phpstan/issues/9695
https://github.com/phpstan/phpstan/issues/11929
https://github.com/phpstan/phpstan/issues/6852"
13,105,0.033632287,Language Version Support,"['update', 'preview', 'version', 'support', 'module', 'jep', 'update update', 'kotlin', 'remove', 'release']","['jep', 'update update', 'preview update', 'version preview', 'language version', 'update implementation', 'preview feature', 'openjdk', 'patterns', 'dependency update']","https://github.com/spotbugs/spotbugs/issues/1244
https://github.com/soot-oss/soot/issues/300
https://github.com/pmd/pmd/issues/4333
https://github.com/pmd/pmd/issues/5478
https://github.com/pmd/pmd/issues/4015"
14,68,0.02178090967,Missing Results,"['report', 'feature request', 'feature', 'request', 'error', 'today', 'way', 'happy way', 'today happy', 'help today']","['report', 'feature request', 'feature', 'report error', 'error', 'request report', 'way response', 'response report', 'report unreachable', 'unreachable statement']","https://github.com/phpstan/phpstan/issues/9660
https://github.com/phpstan/phpstan/issues/11320
https://github.com/phpstan/phpstan/issues/4710
https://github.com/phpstan/phpstan/issues/10900
https://github.com/spotbugs/spotbugs/issues/873"
15,56,0.01793721973,Rule Definitions,"['rule', 'description', 'affects version', 'affects', 'version rule', 'sample', 'version', 'rule description', 'run', 'code sample']","['affects version', 'version rule', 'rule description', 'version', 'code sample', 'gradle', 'gradle designer', 'cli maven', 'maven gradle', 'description rule']","https://github.com/pmd/pmd/issues/2187
https://github.com/pmd/pmd/issues/1608
https://github.com/facebook/infer/issues/568
https://github.com/pmd/pmd/issues/2223
https://github.com/pmd/pmd/issues/1362"
16,52,0.01665598975,Cleanup Deprecations,"['deprecate', 'remove', 'migrate', 'cleanup', 'remove deprecate', 'deprecated', 'core', 'replace', 'task', 'release']","['deprecate', 'remove deprecate', 'deprecated', 'core remove', 'core deprecate', 'deprecate system', 'cleanup deprecated', 'mark deprecated', 'deprecate api', 'deprecation notice']","https://github.com/pmd/pmd/issues/4301
https://github.com/diffblue/cbmc/issues/2070
https://github.com/pmd/pmd/issues/4767
https://github.com/soot-oss/soot/issues/250
https://github.com/pmd/pmd/issues/5703"
17,78,0.02498398463,Generic Types,"['template', 'generic', 'param', 'promise', 'value', 'callable', 'literal', 'feature', 'feature request', 'request']","['template', 'param', 'promise promise', 'covariant', 'feature request', 'generic template', 'generic feature', 'generics', 'template feature', 'request template']","https://github.com/phpstan/phpstan/issues/6240
https://github.com/phpstan/phpstan/issues/4049
https://github.com/wala/WALA/issues/36
https://github.com/phpstan/phpstan/issues/4856
https://github.com/phpstan/phpstan/issues/12646"
18,122,0.03907751441,"Speed
Memory
Usability Issues","['analysis', 'solver', 'project', 'code', 'result', 'slice', 'deliverable', 'provide', 'level', 'implement']","['analysis', 'solver', 'slice', 'project', 'bitvec', 'coverage', 'application', 'smt2lib', 'iteration', 'step']","https://github.com/secure-software-engineering/phasar/issues/540
https://github.com/pmd/pmd/issues/319
https://github.com/secure-software-engineering/phasar/issues/668
https://github.com/pmd/pmd/issues/2507
https://github.com/soot-oss/soot/issues/55"
19,40,0.01281229981,Annotation,"['annotation', 'filter', 'support', 'annotate', 'annotation support', 'element', 'guava', 'support annotation', 'javax', 'symbol']","['annotation', 'annotation support', 'annotate', 'support annotation', 'annotation like', 'annotation filter', 'filter annotation', 'support filter', 'annotation value', 'fxml']","https://github.com/spotbugs/spotbugs/issues/464
https://github.com/spotbugs/spotbugs/issues/523
https://github.com/spotbugs/spotbugs/issues/1691
https://github.com/pmd/pmd/issues/3752
https://github.com/spotbugs/spotbugs/issues/947"
20,80,0.02562459962,Exception Handling,"['exception', 'feature request', 'request', 'feature', 'regex', 'check', 'error', 'detect', 'like', 'describe']","['check exception', 'unchecked exception', 'exception feature', 'exception allow', 'exception handling', 'exception check', 'child exception', 'parent exception', 'detect exception', 'catchclasse']","https://github.com/spotbugs/spotbugs/issues/2547
https://github.com/phpstan/phpstan/issues/8021
https://github.com/phpstan/phpstan/issues/9921
https://github.com/phpstan/phpstan/issues/4316
https://github.com/phpstan/phpstan/issues/8163"
21,35,0.01121076233,Test Suites,"['test', 'rule', 'junit', 'exclude', 'junit5', 'assertion', 'code', 'description', 'expect', 'junit4']","['test', 'junit', 'junit5', 'assertion', 'exception', 'junit4', 'test code', 'rule test', 'assertequals', 'junit test']","https://github.com/pmd/pmd/issues/1435
https://github.com/spotbugs/spotbugs/issues/390
https://github.com/pmd/pmd/issues/638
https://github.com/diffblue/cbmc/issues/1091
https://github.com/pmd/pmd/issues/2944"
22,90,0.02882767457,Build System,"['maven', 'gradle', 'plugin', 'build', 'release', 'project', 'core', 'designer', 'eclipse', 'dependency']","['gradle', 'maven', 'gradlew', 'gradle plugin', 'maven build', 'maven project', 'gradle build', 'gradlew check', 'maven plugin', 'msridhar']","https://github.com/spotbugs/spotbugs/issues/82
https://github.com/wala/WALA/issues/466
https://github.com/soot-oss/SootUp/issues/595
https://github.com/spotbugs/spotbugs/issues/133
https://github.com/spotbugs/spotbugs/issues/515"
23,36,0.01153106983,IR,"['jimple', 'javajimple', 'implement', 'names', 'nest base', 'interfaceinvoke', 'dacapo', 'access control', 'base access', 'trap']","['jimple', 'interfaceinvoke', 'declare sink', 'jimple javajimple', 'interfaceinvoke names', 'jimpleprinter', 'stack17 interfaceinvoke', 'jimple file', 'implement jimple', 'stack18 dynamicinvoke']","https://github.com/soot-oss/SootUp/issues/1119
https://github.com/soot-oss/SootUp/issues/692
https://github.com/soot-oss/SootUp/issues/756
https://github.com/soot-oss/SootUp/issues/412
https://github.com/soot-oss/SootUp/issues/18"
24,137,0.04388212684,Language Version Support,"['version', 'update', 'release', 'action', 'build', 'checkout', 'action checkout', 'support', 'docker', 'checkout action']","['beta', 'version release', 'release support', 'stable version', 'release update', 'baksmali version', 'beta version', 'update beta', 'release date', 'release number']","https://github.com/pmd/pmd/issues/4642
https://github.com/pmd/pmd/issues/2505
https://github.com/spotbugs/spotbugs/issues/373
https://github.com/spotbugs/spotbugs/issues/3391
https://github.com/facebook/infer/issues/809"
25,34,0.01089045484,Output Format,"['json', 'sarif', 'output', 'format', 'json output', 'ui', 'report', 'json ui', 'json format', 'sarif report']","['json', 'output', 'json output', 'format', 'json ui', 'json format', 'json xml', 'json parser', 'json file', 'json_encode']","https://github.com/security-code-scan/security-code-scan/issues/14
https://github.com/phpstan/phpstan/issues/3495
https://github.com/diffblue/cbmc/issues/1770
https://github.com/phpstan/phpstan/issues/6958
https://github.com/phpstan/phpstan/issues/158"
26,36,0.01153106983,IR,"['body', 'interceptor', 'bodyinterceptor', 'trap', 'unit', 'bytecode', 'stmt', 'stmtgraph', 'replacement', 'enclose']","['interceptor', 'body', 'bodyinterceptor', 'trap', 'bodyinterceptors', 'bodybuilder', 'enclosing body', 'interceptor test', 'body constructor', 'interceptors']","https://github.com/soot-oss/SootUp/issues/1010
https://github.com/soot-oss/SootUp/issues/56
https://github.com/soot-oss/soot/issues/1711
https://github.com/soot-oss/SootUp/issues/281
https://github.com/soot-oss/SootUp/issues/306"
27,229,0.0733504164,Type Inference,"['property', 'check', 'feature', 'request', 'feature request', 'value', 'nullable', 'like', 'code', 'constructor']","['property', 'property feature', 'non nullable', 'access property', 'property constructor', 'property initialization', 'property value', 'nullable property', 'epgprogramme epgprogramme', 'initialization feature']","https://github.com/phpstan/phpstan/issues/7442
https://github.com/phpstan/phpstan/issues/9062
https://github.com/phpstan/phpstan/issues/2984
https://github.com/pmd/pmd/issues/1027
https://github.com/phpstan/phpstan/issues/9500"
28,100,0.03203074952,Error Management,"['error', 'report', 'output', 'format', 'feature', 'message', 'request', 'formatter', 'feature request', 'file']","['error', 'formatter', 'errorformat', 'teamcity', 'print', 'format', 'error message', 'error formatter', 'error format', 'error identifier']","https://github.com/phpstan/phpstan/issues/1686
https://github.com/phpstan/phpstan/issues/8041
https://github.com/phpstan/phpstan/issues/553
https://github.com/diffblue/cbmc/issues/1314
https://github.com/phpstan/phpstan/issues/2921"
29,137,0.04388212684,Error Management,"['log', 'error', 'report', 'suppression', 'warning', 'ignore', 'describe', 'suppress', 'rule', 'renderer']","['suppression', 'disable', 'certain check', 'suppress', 'disable certain', 'securerandom', 'warning notice', 'disable suppression', 'nopmd', 'option disable']","https://github.com/pmd/pmd/issues/5174
https://github.com/pmd/pmd/issues/1900
https://github.com/spotbugs/spotbugs/issues/641
https://github.com/security-code-scan/security-code-scan/issues/35
https://github.com/security-code-scan/security-code-scan/issues/212"
